State,Race13,Religion13,SexualOrientation13,Disability13,Gender13,GenderIdentity13,Normalized13,Race14,Religion14,SexualOrientation14,Disability14,Gender14,GenderIdentity14,Normalized14,Race15,Religion15,SexualOrientation15,Disability15,Gender15,GenderIdentity15,Normalized15,Race16,Religion16,SexualOrientation16,Disability16,Gender16,GenderIdentity16,RaceT,ReligionT,SexualOrientationT,DisabilityT,GenderT,GenderIdentityT,Normalized16
Alabama,5,0,1,0,0,0,24.58,8,1,0,0,0,0,63.25969995,8,0,2,0,0,0,32.31670084,12,1,1,0,0,0,23,2,4,0,0,0,43.95248611
Alaska,8,0,0,0,0,0,27.68,5,0,1,0,0,0,20.15648072,7,0,1,0,0,0,27.66798426,11,0,0,0,0,0,21,0,2,0,0,0,35.97986518
Arizona,97,30,27,1,0,0,42.9,168,38,55,4,0,0,652.305937,162,52,57,5,0,0,77.01455297,110,50,53,1,0,0,484,170,192,11,0,0,59.91499336
Arkansas,19,0,8,0,0,0,73.99,6,1,1,0,0,0,54.31265805,3,0,2,0,0,0,49.83196552,10,1,0,0,0,1,30,2,11,0,0,1,42.42863104
California,489,129,217,1,0,7,37.31,416,128,187,4,2,22,34.56956939,427,191,188,4,1,26,38.83648473,522,171,208,2,3,27,1520,619,800,11,6,82,43.89367065
Colorado,69,18,40,1,0,0,"1,204.58",54,11,26,5,0,0,37.30142357,65,16,20,3,0,3,43.0195586,67,19,23,0,0,0,208,64,109,9,0,3,51.12429084
Connecticut,96,20,26,3,0,0,77.63,68,31,23,1,0,0,56.58863132,62,19,9,4,0,0,56.07857715,62,30,14,0,0,0,235,100,72,8,0,0,64.90154127
Delaware,9,0,3,0,0,0,169.18,8,2,3,0,0,0,120.2151342,9,2,0,0,0,0,132.6482095,11,3,1,0,0,0,26,7,7,0,0,0,329.5325516
District of Columbia,22,6,32,0,0,12,115.39,17,8,29,1,0,15,107.5361251,23,5,27,0,0,10,104.0846473,33,18,42,2,0,20,89,37,130,3,0,57,188.6624694
Florida,48,8,20,0,0,0,24.58,40,12,12,1,0,0,33.62419647,44,13,14,0,0,1,43.27192503,43,19,32,1,0,1,146,52,78,2,0,2,49.13910735
